id,name,linkedin_url,location,company,title,seniority,function,segment,specialism,category,evidence,source_url,fit_score,confidence,notes
"CRSA-068","Kaylynne Denton","https://za.linkedin.com/in/kaylynne-denton-a23153124","City of Cape Town, Western Cape, South Africa","RCS","Senior Credit Risk Analyst","Senior Analyst","Credit Risk; Data Science","Retail credit","Retail credit risk; data science","Analyst","Indexed LinkedIn result states Senior Credit Risk Analyst at RCS.","https://za.linkedin.com/in/kaylynne-denton-a23153124","9","High",""
"CRSA-069","Fatgie Adams","https://za.linkedin.com/in/fatgie-adams-86443739","City of Cape Town, Western Cape, South Africa","TransUnion Africa","Director - Credit Risk Solutions","Head","Credit Risk; Credit Bureau / Data; Credit Scoring","Credit bureau","Credit risk solutions; alternative data; scoring; analytics","Head","Indexed LinkedIn result states Director - Credit Risk Solutions at TransUnion Africa.","https://za.linkedin.com/in/fatgie-adams-86443739","9","High",""
"CRSA-070","Darrel Bhugwandas","https://za.linkedin.com/in/bhugwandas","Cape Town, Western Cape, South Africa","Truworths","Senior Analyst | ML & AI / Credit Risk Analyst","Senior Analyst","Credit Risk; Data Science","Retail credit","Retail credit analytics; ML/AI","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Truworths and senior analyst ML & AI.","https://za.linkedin.com/in/bhugwandas","8","High",""
"CRSA-071","Nawaal Dawood","https://za.linkedin.com/in/nawaal-dawood-93207710","Cape Town, Western Cape, South Africa","Needs verification","Credit Risk Specialist","Senior Analyst","Credit Risk","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Credit Risk Specialist and Senior Credit Risk Analyst at Woolworths Financial Services.","https://za.linkedin.com/in/nawaal-dawood-93207710","8","Medium","Current company requires manual verification."
"CRSA-072","Daisy Kheswa","https://za.linkedin.com/in/daisy-kheswa-b23340a5","South Africa","Absa Group","Manager: Collections Strategy Credit Risk","Manager","Collections Strategy; Credit Risk","Bank","Collections strategy and credit risk","Manager","Indexed LinkedIn result states Manager: Collections Strategy Credit Risk at Absa Group.","https://za.linkedin.com/in/daisy-kheswa-b23340a5","9","High",""
"CRSA-073","Andrew van Huyssteen","https://za.linkedin.com/in/andrew-van-huyssteen-35079a94","South Africa","FNB South Africa","Business Intelligence Manager, Collections Analytics","Manager","Collections Analytics; Data Analytics; Credit Risk","Bank","Collections analytics and credit risk data analytics","Manager","Indexed LinkedIn result states BI Manager, Collections Analytics at FNB South Africa with credit risk skill.","https://za.linkedin.com/in/andrew-van-huyssteen-35079a94","8","High",""
"CRSA-074","Lauren Esterhuizen (Price)","https://za.linkedin.com/in/lauren-esterhuizen-price-34382457","City of Johannesburg, Gauteng, South Africa","Experian","Credit Risk Modeling Specialist","Senior Analyst","Credit Risk Modelling; Portfolio Analytics","Credit bureau / analytics","Credit risk modelling; portfolio analytics; variable innovation","Analyst","Indexed LinkedIn result states credit risk modelling and portfolio analytics at Experian.","https://za.linkedin.com/in/lauren-esterhuizen-price-34382457","8","High",""
"CRSA-075","Vhonani Tsanwani","https://za.linkedin.com/in/vhonani-tsanwani","Gauteng, South Africa","Capitec","Credit Specialist / Credit Strategy / Collections Analytics","Senior Analyst","Credit Strategy; Collections Analytics","Digital bank","Credit strategy; collections analytics; data-driven solutions","Analyst","Indexed LinkedIn result states credit strategy, collections analytics and Capitec.","https://za.linkedin.com/in/vhonani-tsanwani","8","High",""
"CRSA-076","Abel Letoaba","https://za.linkedin.com/in/abel-letoaba-506145123","South Africa","African Bank","Collections Analytics and Strategy Manager","Manager","Collections Analytics; Collections Strategy; Credit Risk","Bank / unsecured lender","Collections analytics and strategy; prior credit risk analyst","Manager","Indexed LinkedIn result states Collections Analytics and Strategy Manager at African Bank and prior Credit Risk Analyst at Absa.","https://za.linkedin.com/in/abel-letoaba-506145123","9","High",""
"CRSA-077","Randall Moosajie","https://za.linkedin.com/in/randall-moosajie-53a73879","South Africa","Needs verification","Senior Leader in Credit Risk & Collections Strategy","Senior Manager","Credit Risk; Collections Strategy","Bank / financial services","Credit risk and collections strategy","Manager","Indexed LinkedIn result states senior leader in credit risk and collections strategy.","https://za.linkedin.com/in/randall-moosajie-53a73879","8","Medium",""
"CRSA-078","Todani Nemadzhilili","https://za.linkedin.com/in/todani-nemadzhilili-38133945","South Africa","Land and Agricultural Development Bank of South Africa","Credit Risk and Debt Collections Expert","Manager","Credit Risk; Collections Analytics","Bank / development finance","Debt collections; collections operations analytics","Manager","Indexed LinkedIn result states credit risk and debt collections expert with collections analytics role.","https://za.linkedin.com/in/todani-nemadzhilili-38133945","8","High",""
"CRSA-079","Bonani Mkoko","https://za.linkedin.com/in/bonani-mkoko-b5655824","City of Johannesburg, Gauteng, South Africa","TransUnion","Credit Risk Analyst","Analyst","Credit Risk; Credit Bureau / Data","Credit bureau","Credit bureau risk analytics","Analyst","Indexed LinkedIn result states Credit Risk Analyst at TransUnion.","https://za.linkedin.com/in/bonani-mkoko-b5655824","8","High",""
"CRSA-080","Nerietha van der Westhuizen","https://za.linkedin.com/in/nerietha-van-der-westhuizen-0540929b","South Africa","Experian","Analytics Manager - Modelling Team","Manager","Credit Risk Modelling; Decision Analytics","Credit bureau / analytics","Credit risk modelling and decision analytics","Manager","Indexed LinkedIn result states Analytics Manager for modelling team at Experian with credit risk modelling and decision analytics expertise.","https://za.linkedin.com/in/nerietha-van-der-westhuizen-0540929b","9","High",""
"CRSA-081","David Coleman","https://za.linkedin.com/in/david-coleman-7459a928","South Africa","Experian South Africa","Data, Analytics, Product and Commercial Leader","Senior Manager","Credit Risk; Predictive Modelling; Analytics","Credit bureau / analytics","Predictive modelling and analytics strategy for Experian South Africa","Manager","Indexed LinkedIn result states accountable for analytics strategy, predictive modelling and revenue growth across Experian South Africa.","https://za.linkedin.com/in/david-coleman-7459a928","7","High","Different profile from RCS David Coleman."
"CRSA-082","Thehan Claassen","https://za.linkedin.com/in/thehan-claassen","City of Johannesburg, Gauteng, South Africa","Needs verification","Executive Credit Solutions & Innovation","Executive","Credit Risk; Credit Scoring; Affordability; Collections Analytics","Credit bureau / analytics","Pricing, credit scoring, affordability, impairments, fraud, collections analytics","Head","Indexed LinkedIn result states Executive Credit Solutions & Innovation with scoring, affordability and collections analytics.","https://za.linkedin.com/in/thehan-claassen","9","Medium",""
"CRSA-083","Siphethokuhle Maphosa","https://za.linkedin.com/in/siphethokuhle-maphosa-7b8b3952","Germiston Metropolitan Area, South Africa","TransUnion","Credit Risk Administrator","Junior","Credit Risk; Credit Bureau / Data","Credit bureau","Credit risk administration","Analyst","Indexed LinkedIn result states Credit Risk Administrator at TransUnion.","https://za.linkedin.com/in/siphethokuhle-maphosa-7b8b3952","6","High",""
"CRSA-084","Mark Steinhaus","https://za.linkedin.com/in/mark-steinhaus-48a6034a","South Africa","FNB","Head of Credit Analytics and Impairments","Head","Credit Analytics; IFRS 9 / Impairments; Collections Analytics","Bank","Credit analytics, impairment and collections analytics","Head","Indexed LinkedIn result states Head of Credit Analytics and earlier collections/impairment credit management analytics.","https://za.linkedin.com/in/mark-steinhaus-48a6034a","9","High",""
"CRSA-085","Rudi Pollard","https://za.linkedin.com/in/rudi-pollard-2b900a21","Johannesburg Area, South Africa","Needs verification","Head: Model Risk & Insights","Head","Model Risk; IFRS 9 / Impairments; Credit Risk","Bank / financial services","Model risk, credit risk, IFRS 9 and stress testing","Head","Indexed LinkedIn result states Head: Model Risk & Insights covering credit risk, IFRS 9 and stress testing.","https://za.linkedin.com/in/rudi-pollard-2b900a21","9","Medium",""
"CRSA-086","Andre du Plessis","https://za.linkedin.com/in/andre-du-plessis-48a89916","Stellenbosch, South Africa","Capitec Bank","Senior Specialist: Model Validation","Senior Manager","Model Risk; Model Validation","Digital bank","Model risk management and model validation","Manager","Indexed LinkedIn result states Senior Specialist: Model Validation at Capitec Bank.","https://za.linkedin.com/in/andre-du-plessis-48a89916","8","High",""
"CRSA-087","Katleho Mphuthi","https://za.linkedin.com/in/katleho-mphuthi-3a8454131","South Africa","Old Mutual South Africa","Credit Risk | IFRS9 Impairment | Portfolio Management | Modelling","Senior Analyst","Credit Risk; IFRS 9 / Impairments; Portfolio Risk","Insurance / lending","IFRS 9 impairment, portfolio management and modelling","Analyst","Indexed LinkedIn result states Credit Risk, IFRS9 Impairment, Portfolio Management and Modelling at Old Mutual South Africa.","https://za.linkedin.com/in/katleho-mphuthi-3a8454131","9","High",""
"CRSA-088","Maureen Stamiri","https://za.linkedin.com/in/maureen-stamiri-03844b3a","South Africa","African Bank","Senior Manager: Model Risk & Analytics","Senior Manager","Model Risk; Credit Risk Models; Analytics","Bank / unsecured lender","Credit risk models and risk governance","Manager","Indexed LinkedIn result states Senior Manager: Model Risk & Analytics at African Bank managing credit risk models and governance.","https://za.linkedin.com/in/maureen-stamiri-03844b3a","9","High",""
"CRSA-089","Lehlohonolo Motimela","https://za.linkedin.com/in/lehlohonolo-motimela-08431387","City of Johannesburg, Gauteng, South Africa","Absa Group","Head of Model Validation: Wholesale Credit","Head","Model Risk; Model Validation; Wholesale Credit Risk","Bank","Wholesale credit model validation","Head","Indexed LinkedIn result states Head of Model Validation: Wholesale Credit at Absa Group.","https://za.linkedin.com/in/lehlohonolo-motimela-08431387","9","High",""
"CRSA-090","Wikus Duvenhage","https://za.linkedin.com/in/wikus-duvenhage-59398b1b","South Africa","Needs verification","Head: PPB SA Capital & Impairment","Head","IFRS 9 / Impairments; Credit Risk; Capital","Bank","Capital and impairment; credit risk due diligence","Head","Indexed LinkedIn result states Head: PPB SA Capital & Impairment and credit risk due diligence.","https://za.linkedin.com/in/wikus-duvenhage-59398b1b","8","Medium",""
"CRSA-091","Andri Theunissen","https://za.linkedin.com/in/andri-theunissen-767b4164","South Africa","Nedbank","Divisional Head: Model Risk","Head","Model Risk; Credit Risk Modelling","Bank","Model risk frameworks and credit risk modelling","Head","Indexed LinkedIn result states Nedbank Divisional Head: Model Risk with credit risk modelling and model risk frameworks.","https://za.linkedin.com/in/andri-theunissen-767b4164","9","High",""
"CRSA-092","Santhrika Pillay, FRM","https://za.linkedin.com/in/santhrika-pillay-frm-80482174","South Africa","Needs verification","Model Risk Validations Lead","Lead / Team Lead","Model Risk; Model Validation; Credit Risk","Bank / financial services","Independent validations of bank models including credit risk","Lead","Indexed LinkedIn result states Model Risk Validations Lead and validation of bank models including credit risk.","https://za.linkedin.com/in/santhrika-pillay-frm-80482174","8","Medium",""
"CRSA-093","Devandren Naidoo","https://za.linkedin.com/in/devandren-naidoo-633190104","Johannesburg Area, South Africa","Discovery Limited","Credit Risk Management","Manager","Credit Risk; IFRS 9 / Impairments; Portfolio Risk","Digital bank / insurance","Home loans credit, impairments and portfolio management","Manager","Indexed LinkedIn result states Credit Risk Management at Discovery Limited and home loans credit impairments and portfolio.","https://za.linkedin.com/in/devandren-naidoo-633190104","8","High",""
"CRSA-094","Lindokuhle Masina","https://za.linkedin.com/in/lindokuhle-masina-85845b131","City of Cape Town, Western Cape, South Africa","Capitec","Model Risk Management","Senior Analyst","Model Risk","Digital bank","Model risk management","Analyst","Indexed LinkedIn result states Model Risk Management at Capitec.","https://za.linkedin.com/in/lindokuhle-masina-85845b131","8","High",""
"CRSA-095","Wendy Scott","https://za.linkedin.com/in/wendy-scott-88a1702a","City of Johannesburg, Gauteng, South Africa","Absa Group","Retail Model Validation Senior Analyst","Senior Analyst","Model Risk; Model Validation; Retail Credit","Bank","Retail model validation","Analyst","Indexed LinkedIn result states Retail Model Validation Senior Analyst at Absa Group.","https://za.linkedin.com/in/wendy-scott-88a1702a","8","High",""
"CRSA-096","Matapa Priscilla Dapa","https://za.linkedin.com/in/matapa-priscilla-dapa-137073a7","City of Johannesburg, Gauteng, South Africa","Nedbank","Credit Risk and Model Risk Audit Professional","Senior Analyst","Credit Risk; Model Risk; Audit","Bank","Credit and model risk audit","Analyst","Indexed LinkedIn result states Credit risk and Model risk Audit Professional at Nedbank.","https://za.linkedin.com/in/matapa-priscilla-dapa-137073a7","8","High",""
"CRSA-097","Ania Kamerski","https://za.linkedin.com/in/ania-kamerski-93286223","South Africa","KPMG South Africa","Actuary: Banking Specialist","Senior Consultant","Credit Risk Modelling; IFRS 9 / Impairments","Consulting","Credit risk modelling for regulatory and impairment purposes","Consultant","Indexed LinkedIn result states KPMG South Africa banking specialist focused on credit risk modelling for regulatory and impairment purposes.","https://za.linkedin.com/in/ania-kamerski-93286223","8","High",""
"CRSA-098","Rashmika Singh","https://za.linkedin.com/in/rashmika-singh-03554764","City of Johannesburg, Gauteng, South Africa","Standard Bank","Quantitative Analyst: Model Risk Internal Audit","Analyst","Model Risk; Quantitative Risk","Bank","Model risk internal audit","Analyst","Indexed LinkedIn result states Quantitative Analyst: Model Risk Internal Audit at Standard Bank.","https://za.linkedin.com/in/rashmika-singh-03554764","8","High",""
"CRSA-099","Blake Meilhon","https://za.linkedin.com/in/blake-meilhon-737b711b","South Africa","Needs verification","Head: Model Validation Banking CIB","Head","Model Risk; Model Validation; Credit Risk","Bank","Credit risk model validation","Head","Indexed LinkedIn result states Head: Model Validation Banking CIB and support for credit risk model validations.","https://za.linkedin.com/in/blake-meilhon-737b711b","8","Medium",""
"CRSA-100","Lodewyk van der Vyver","https://za.linkedin.com/in/lodewyk-van-der-vyver-37b8b71a4","Johannesburg, Gauteng, South Africa","Needs verification","Head: Model Validation CHNW","Head","Model Risk; Model Validation; Wholesale Credit Risk","Bank","Initial and ongoing validations of wholesale credit risk models","Head","Indexed LinkedIn result states Head: Model Validation CHNW in Johannesburg and wholesale credit risk model validation.","https://za.linkedin.com/in/lodewyk-van-der-vyver-37b8b71a4","8","Medium",""
"CRSA-101","Libhongo L.","https://za.linkedin.com/in/libhongo-l-318b81120","South Africa","Needs verification","Data Science | Credit Risk (IFRS 9 and BA200)","Analyst","Data Science; Credit Risk; IFRS 9 / Impairments","Bank / financial services","IFRS 9 provisions, ECL estimation and BA200","Analyst","Indexed LinkedIn result states Data Science, Credit Risk, IFRS 9 and BA200.","https://za.linkedin.com/in/libhongo-l-318b81120","8","Medium",""
"CRSA-102","Benny Mashimbye","https://za.linkedin.com/in/benny-mashimbye-658988110","City of Cape Town, Western Cape, South Africa","Needs verification","Quantitative Analyst | Credit Risk (Retail and Business Bank)","Analyst","Quantitative Credit Risk; Retail Credit","Bank","Retail and business bank credit risk","Analyst","Indexed LinkedIn result states Quantitative Analyst, Credit Risk (Retail and Business Bank).","https://za.linkedin.com/in/benny-mashimbye-658988110","8","Medium",""
"CRSA-103","Abraham Louw","https://za.linkedin.com/in/abraham-louw-a04850b6","Cape Town Area, South Africa","Woolworths Financial Services","Chief Risk Officer","Executive","Credit Risk; IFRS 9 / Impairments; Collections Strategy","Retail credit / insurance","Strategic credit risk, impairment, collections","Executive","Indexed LinkedIn result states CRO at Woolworths Financial Services with executive responsibility for credit risk, impairment and collections.","https://za.linkedin.com/in/abraham-louw-a04850b6","8","High",""
"CRSA-104","Mmasekatle Edwin Mehala","https://za.linkedin.com/in/mmasekatle-edwin-mehala-a0495b45","South Africa","Needs verification","Model Risk | Credit Risk | Fraud and Operational Analytics","Senior Analyst","Model Risk; Credit Risk; Fraud Risk","Bank / financial services","Model risk, credit risk and fraud analytics","Analyst","Indexed LinkedIn result states Model Risk, Credit Risk, Fraud and Operational Analytics.","https://za.linkedin.com/in/mmasekatle-edwin-mehala-a0495b45","8","Medium",""
"CRSA-105","Denzel Ramsbottom","https://za.linkedin.com/in/denzel-ramsbottom-241571156","Johannesburg Metropolitan Area, South Africa","KPMG South Africa","Credit Risk - Quantitative Analyst | Assistant Manager","Consultant","Quantitative Credit Risk; Consulting","Consulting","Credit risk quantitative analysis","Consultant","Indexed LinkedIn result states Credit Risk - Quantitative Analyst | Assistant Manager at KPMG South Africa.","https://za.linkedin.com/in/denzel-ramsbottom-241571156","9","High",""
"CRSA-106","Phumudzo Nematswerani","https://za.linkedin.com/in/phumudzo-nematswerani-52519415b","City of Johannesburg, Gauteng, South Africa","Needs verification","Credit Risk Data Scientist","Analyst","Credit Risk; Data Science","Bank / financial services","Credit risk data science","Analyst","Indexed LinkedIn result states Credit Risk Data Scientist.","https://za.linkedin.com/in/phumudzo-nematswerani-52519415b","8","Medium",""
"CRSA-107","Thabang Mokoena","https://za.linkedin.com/in/thabang-mokoena-m-sc-b8814280","City of Johannesburg, Gauteng, South Africa","Needs verification","Data Scientist | Credit Risk Analyst","Analyst","Credit Risk; Data Science; Retail Credit","Bank / retail credit","Retail credit risk; decision support","Analyst","Indexed LinkedIn result states Data Scientist, Credit Risk Analyst and retail credit risk.","https://za.linkedin.com/in/thabang-mokoena-m-sc-b8814280","8","Medium",""
"CRSA-108","Teballo Kgomo","https://za.linkedin.com/in/teballo-kgomo-07bb43125","South Africa","Vodacom / former Capitec","Senior Data Scientist / former Credit Risk Data Scientist","Senior Analyst","Credit Risk; Data Science; Scorecards","Digital bank / telecoms","Scorecard development and maintenance","Analyst","Indexed LinkedIn result states prior Capitec Credit Risk Data Scientist developing/maintaining scorecards.","https://za.linkedin.com/in/teballo-kgomo-07bb43125","7","Medium",""
"CRSA-109","Thato Makhetha","https://za.linkedin.com/in/thato-makhetha-b21a5557","South Africa","FNB South Africa","Data Scientist II | Credit Risk","Senior Analyst","Credit Risk; Data Science","Bank","Private core banking credit risk analytics","Analyst","Indexed LinkedIn result states Data Scientist II | Credit Risk at FNB Private Core Banking.","https://za.linkedin.com/in/thato-makhetha-b21a5557","9","High",""
"CRSA-110","Thulani Singwane","https://za.linkedin.com/in/thulani-singwane-4042b8283","South Africa","Standard Bank South Africa","Senior Quantitative Analyst - Capital & Impairments Modelling","Senior Analyst","Quantitative Credit Risk; IFRS 9 / Impairments","Bank","Capital and impairments modelling","Analyst","Indexed LinkedIn result states Senior Quantitative Analyst - Capital & Impairments Modelling at Standard Bank.","https://za.linkedin.com/in/thulani-singwane-4042b8283","9","High",""
"CRSA-111","Matlhomola Mohlala","https://za.linkedin.com/in/matlhomola-mohlala-764a12244","South Africa","Needs verification","Data Scientist | Quantitative Analyst | Credit Risk (PD)","Analyst","Data Science; Quantitative Credit Risk","Bank / financial services","PD modelling and predictive modelling","Analyst","Indexed LinkedIn result states Data Scientist / Quantitative Analyst with Credit Risk (PD) and predictive modelling.","https://za.linkedin.com/in/matlhomola-mohlala-764a12244","8","Medium",""
"CRSA-112","Marni Cronje","https://za.linkedin.com/in/marni-cronje-324747187","South Africa","FNB South Africa","Data Scientist III - Credit Risk Scoring","Senior Analyst","Credit Risk; Credit Scoring; Data Science","Bank","Credit risk scoring","Analyst","Indexed LinkedIn result states FNB Data Scientist III Credit Risk Scoring.","https://za.linkedin.com/in/marni-cronje-324747187","9","High",""
"CRSA-113","Catherine Jeffery","https://za.linkedin.com/in/catherine-jeffery-5417a7184","City of Cape Town, Western Cape, South Africa","Nedbank","Senior Quantitative Analyst","Senior Analyst","Quantitative Risk; Credit Risk","Bank","Consumer innovation and credit-risk analytics","Analyst","Indexed LinkedIn result states Senior Quantitative Analyst at Nedbank driving credit-risk work.","https://za.linkedin.com/in/catherine-jeffery-5417a7184","8","High",""
"CRSA-114","Sias Mulder","https://za.linkedin.com/in/sias-mulder-16792066","South Africa","FirstRand Group","Data Scientist","Senior Analyst","Credit Risk; Data Science; Quantitative Analytics","Bank","Credit risk modelling; quantitative analytics; data science","Analyst","Indexed LinkedIn result states Data Scientist at FirstRand Group and credit risk specialist.","https://za.linkedin.com/in/sias-mulder-16792066","8","High",""
"CRSA-115","Monique Tommy","https://za.linkedin.com/in/monique-tommy-3a8573306","South Africa","FNB South Africa","Credit Risk Analyst","Analyst","Credit Risk","Bank","Banking credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at FNB South Africa.","https://za.linkedin.com/in/monique-tommy-3a8573306","8","High",""
"CRSA-116","Ndivho Ndadza","https://za.linkedin.com/in/ndivho-ndadza-8197aa223","South Africa","WesBank","Credit Analyst","Analyst","Credit Risk; Vehicle Finance Risk","Vehicle finance","Vehicle asset finance credit analysis and credit risk","Analyst","Indexed LinkedIn result states Credit Analyst at WesBank with financial analysis and credit risk.","https://za.linkedin.com/in/ndivho-ndadza-8197aa223","8","High",""
"CRSA-117","Nthabiseng Mina Mokonyane","https://za.linkedin.com/in/nthabiseng-mina-mokonyane-4454ba268","Midrand, Gauteng, South Africa","Discovery Bank","Credit Risk Consultant","Consultant","Credit Risk; Consulting","Digital bank","Credit risk consulting","Consultant","Indexed LinkedIn result states Credit Risk Consultant at Discovery Bank.","https://za.linkedin.com/in/nthabiseng-mina-mokonyane-4454ba268","9","High",""
"CRSA-118","Caswel Manchidi","https://za.linkedin.com/in/caswel-manchidi-4b3516b8","City of Johannesburg, Gauteng, South Africa","FNB South Africa","Credit Risk Analyst","Analyst","Credit Risk","Bank","Banking credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at FNB South Africa.","https://za.linkedin.com/in/caswel-manchidi-4b3516b8","8","High",""
"CRSA-119","Engelbert Meyer","https://za.linkedin.com/in/engelbert-meyer-87594017","South Africa","FirstRand Bank Limited","Head of Group Credit Risk Management","Head","Credit Risk; Retail Credit; SME Credit","Bank","Group credit risk management; retail and SME credit","Head","Indexed LinkedIn result states Head of Group Credit Risk Management at FirstRand Bank Limited.","https://za.linkedin.com/in/engelbert-meyer-87594017","9","High",""
"CRSA-120","Katlego Maluleka","https://za.linkedin.com/in/katlego-maluleka-8701b21a3","Randburg, Gauteng, South Africa","WesBank","Quantitative Analyst | Credit Risk | Motor Risk Management","Analyst","Quantitative Credit Risk; Vehicle Finance Risk","Vehicle finance","Motor risk management; credit risk","Analyst","Indexed LinkedIn result states Quantitative Analyst at WesBank with Credit Risk and Motor Risk Management.","https://za.linkedin.com/in/katlego-maluleka-8701b21a3","9","High",""
"CRSA-121","Thabile Mfusi","https://za.linkedin.com/in/thabile-mfusi-74b64816","City of Johannesburg, Gauteng, South Africa","FNB South Africa","Credit Risk Analyst","Analyst","Credit Risk","Bank","Banking credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at FNB South Africa.","https://za.linkedin.com/in/thabile-mfusi-74b64816","8","High",""
"CRSA-122","Jaco Johannes Loots","https://za.linkedin.com/in/jacojloots","South Africa","FirstRand Group","Economic Capital Head - Capital Management","Head","Basel / Regulatory Credit Risk; IFRS 9; Credit Risk Modelling","Bank","Economic capital, credit risk modelling, Basel, IFRS 9","Head","Indexed LinkedIn result states economic capital head with credit risk modelling, Basel and IFRS9 specialities.","https://za.linkedin.com/in/jacojloots","8","High",""
"CRSA-123","Kagiso More","https://za.linkedin.com/in/kagiso-more-23752a158","City of Johannesburg, Gauteng, South Africa","WesBank","Credit Analyst","Analyst","Credit Risk; Vehicle Finance Risk","Vehicle finance","Vehicle finance credit analysis","Analyst","Indexed LinkedIn result states Credit Analyst at WesBank.","https://za.linkedin.com/in/kagiso-more-23752a158","7","High",""
"CRSA-124","Marthinus van der Linde","https://za.linkedin.com/in/marthinus-van-der-linde-750861b","City of Johannesburg, Gauteng, South Africa","Discovery Bank","Head of Credit","Head","Credit Risk; Credit Strategy","Digital bank","Bank credit leadership","Head","Indexed LinkedIn result states Head of Credit - Discovery Bank.","https://za.linkedin.com/in/marthinus-van-der-linde-750861b","9","High",""
"CRSA-125","Patcinda Fransch","https://za.linkedin.com/in/patcinda-fransch-08857219a","Johannesburg Area, South Africa","Discovery Bank","Credit Risk Team Lead","Lead / Team Lead","Credit Risk","Digital bank","Credit risk team leadership","Lead","Indexed LinkedIn result states Credit Risk Team Lead at Discovery Bank.","https://za.linkedin.com/in/patcinda-fransch-08857219a","9","High",""
"CRSA-126","Thanyani Ntsieni","https://za.linkedin.com/in/thanyani-ntsieni-0a914692","South Africa","FirstRand Group / Rand Merchant Bank","Credit Portfolio Management Analyst","Analyst","Portfolio Risk; Credit Risk","Bank","Credit portfolio management","Analyst","Indexed LinkedIn result states Credit Portfolio Management Analyst at RMB / FirstRand.","https://za.linkedin.com/in/thanyani-ntsieni-0a914692","8","High",""
"CRSA-127","Boitumelo Phewa","https://za.linkedin.com/in/boitumelo-phewa-480a331b","City of Johannesburg, Gauteng, South Africa","Discovery Bank","Credit Risk Specialist","Senior Analyst","Credit Risk","Digital bank","Credit risk specialist","Analyst","Indexed LinkedIn result states Credit Risk Specialist at Discovery Bank.","https://za.linkedin.com/in/boitumelo-phewa-480a331b","8","High",""
"CRSA-128","Pieter Uys","https://za.linkedin.com/in/pieteruys","South Africa","FNB South Africa","Head of Scored Credit and SME Credit - Broader Africa Commercial","Head","Credit Scoring; SME Credit; Credit Risk","Bank","Scored credit, SME credit, pricing and analytics","Head","Indexed LinkedIn result states Head of Scored Credit and SME Credit and prior Head of Credit Risk, Pricing and Analytics.","https://za.linkedin.com/in/pieteruys","9","High",""
"CRSA-129","Motheo Mofamere","https://za.linkedin.com/in/motheo-mofamere-63600b18a","South Africa","Discovery Bank","Divisional Manager - Account Management: Credit Risk Analytics","Manager","Credit Risk; Credit Analytics","Digital bank","Account management credit risk analytics","Manager","Indexed LinkedIn result states Divisional Manager - Account Management: Credit Risk Analytics at Discovery Bank.","https://za.linkedin.com/in/motheo-mofamere-63600b18a","9","High",""
"CRSA-130","Talha Masood","https://za.linkedin.com/in/talha-masood-1128a189","South Africa","Rand Merchant Bank","XVA Structurer / former Wholesale Credit Quantitative Analyst","Senior Analyst","Quantitative Credit Risk; Wholesale Credit","Bank","Wholesale credit quantitative risk analytics","Analyst","Indexed LinkedIn result states RMB Global Markets XVA Structurer and prior Quantitative Risk Analytics (Credit Risk) / Wholesale Credit.","https://za.linkedin.com/in/talha-masood-1128a189","7","High",""
"CRSA-131","Paul Claassen","https://za.linkedin.com/in/paul-claassen-a928bb4b","Johannesburg Area, South Africa","Discovery Bank","Credit Originations Manager","Manager","Credit Strategy; Decisioning","Digital bank","Credit originations","Manager","Indexed LinkedIn result states Credit Originations Manager at Discovery Bank.","https://za.linkedin.com/in/paul-claassen-a928bb4b","8","High",""
"CRSA-132","Bryan Port","https://za.linkedin.com/in/bryanport","South Africa","FirstRand Group","Risk Head","Head","Credit Risk; Governance","Bank","Credit risk governance management of FNB international subsidiaries","Head","Indexed LinkedIn result states Risk Head at FirstRand with responsibility for credit risk governance management.","https://za.linkedin.com/in/bryanport","8","High",""
"CRSA-133","Raihaan Samsoodeen","https://za.linkedin.com/in/raihaan-samsoodeen-85a78b138","City of Johannesburg, Gauteng, South Africa","FirstRand Group","Credit Analyst","Analyst","Credit Risk; Credit Analysis","Bank","Banking credit analysis","Analyst","Indexed LinkedIn result states Credit Analyst at FirstRand Group.","https://za.linkedin.com/in/raihaan-samsoodeen-85a78b138","7","High",""
"CRSA-134","Tshepiso Mthimunye","https://za.linkedin.com/in/tshepiso-mthimunye-8517a71b4","South Africa","WesBank","Credit Analyst","Analyst","Credit Risk; Vehicle Finance Risk","Vehicle finance","Credit scoring models and credit risk evaluation","Analyst","Indexed LinkedIn result states Credit Analyst at WesBank using credit scoring models to evaluate credit risk.","https://za.linkedin.com/in/tshepiso-mthimunye-8517a71b4","8","High",""
"CRSA-135","Zander Cronje","https://za.linkedin.com/in/zander-cronje-8182ba15b","South Africa","Discovery Bank","Head of Credit Risk Models & Measurement","Head","Credit Risk Modelling; Model Risk","Digital bank","Credit risk models and measurement","Head","Indexed LinkedIn result states Head of Credit Risk Models & Measurement at Discovery Bank.","https://za.linkedin.com/in/zander-cronje-8182ba15b","9","High",""
"CRSA-136","Pieter M.","https://za.linkedin.com/in/pieter-maritz-datascience","City of Cape Town, Western Cape, South Africa","Tyme","Credit Risk Management, Data Science, Credit Scoring","Manager","Credit Risk; Data Science; Credit Scoring","Digital bank","Credit scoring; credit risk management","Manager","Indexed LinkedIn result states Credit Risk Management, Data Science and Credit Scoring at Tyme.","https://za.linkedin.com/in/pieter-maritz-datascience","9","High",""
